uniqueid,forecasting,tool_tip,node_name,Category,delta,08-2010,Monthly,,,,,,,,,,,,,,,,,,
Brand_Ad_Recall_Subaru_NSW,,Brand_Ad_Recall_,Brand_Ad_Recall_,Client Data:Roy Morgan:NSW,0.5,0.453,0.365,0.391,0.366,0.456,0.465,0.506,0.531,0.507,0.517,0.416,0.412,0.4,0.427,0.433,0.335,0.266,0.242,0.348,0.387
Brand_Rejection_Subaru_NSW,,Brand_Rejection_,Brand_Rejection_,Client Data:Roy Morgan:NSW,0.5,0.147,0.132,0.175,0.172,0.139,0.157,0.147,0.205,0.211,0.25,0.232,0.288,0.238,0.234,0.18,0.169,0.175,0.164,0.192,0.145
Brand_Consideration_Subaru_NSW,,Brand_Consideration_,Brand_Consideration_,Client Data:Roy Morgan:NSW,0.5,0.178,0.156,0.12,0.06,0.064,0.07,0.113,0.105,0.086,0.045,0.077,0.101,0.096,0.089,0.097,0.113,0.09,0.067,0.064,0.071
Brand_Intention_Subaru_NSW,,Brand_Intention_,Brand_Intention_,Client Data:Roy Morgan:NSW,0.5,0.097,0.089,0.093,0.04,0.043,0.042,0.065,0.065,0.064,0.036,0.049,0.053,0.051,0.053,0.067,0.08,0.063,0.044,0.044,0.053
Brand_Awareness_Subaru_Vic,,Brand_Awareness_,Brand_Awareness_,Client Data:Roy Morgan:Vic,0.5,0.903,0.876,0.87,0.821,0.818,0.837,0.863,0.898,0.869,0.898,0.913,0.901,0.91,0.89,0.893,0.896,0.918,0.963,0.969,0.976
Brand_Ad_Recall_Subaru_Vic,,Brand_Ad_Recall_,Brand_Ad_Recall_,Client Data:Roy Morgan:Vic,0.5,0.406,0.376,0.353,0.324,0.28,0.316,0.375,0.408,0.401,0.41,0.411,0.362,0.37,0.331,0.307,0.199,0.243,0.301,0.408,0.413
Brand_Rejection_Subaru_Vic,,Brand_Rejection_,Brand_Rejection_,Client Data:Roy Morgan:Vic,0.5,0.148,0.188,0.189,0.17,0.197,0.21,0.225,0.202,0.184,0.19,0.164,0.123,0.16,0.209,0.31,0.254,0.207,0.185,0.176,0.206
Brand_Consideration_Subaru_Vic,,Brand_Consideration_,Brand_Consideration_,Client Data:Roy Morgan:Vic,0.5,0.056,0.065,0.059,0.051,0.029,0.032,0.042,0.074,0.079,0.073,0.083,0.084,0.099,0.093,0.099,0.075,0.055,0.068,0.067,0.054
Brand_Intention_Subaru_Vic,,Brand_Intention_,Brand_Intention_,Client Data:Roy Morgan:Vic,0.5,0.043,0.046,0.035,0.028,0.011,0.024,0.023,0.044,0.044,0.05,0.057,0.053,0.052,0.036,0.039,0.039,0.033,0.04,0.035,0.031
Brand_Awareness_Subaru_Qld,,Brand_Awareness_,Brand_Awareness_,Client Data:Roy Morgan:Qld,0.5,0.844,0.854,0.834,0.949,0.954,0.969,0.925,0.941,0.903,0.924,0.815,0.85,0.871,0.966,0.987,0.982,0.911,0.916,0.897,0.966
Brand_Ad_Recall_Subaru_Qld,,Brand_Ad_Recall_,Brand_Ad_Recall_,Client Data:Roy Morgan:Qld,0.5,0.344,0.343,0.27,0.341,0.516,0.487,0.441,0.349,0.348,0.404,0.332,0.376,0.341,0.438,0.426,0.49,0.529,0.508,0.395,0.379
Brand_Rejection_Subaru_Qld,,Brand_Rejection_,Brand_Rejection_,Client Data:Roy Morgan:Qld,0.5,0.134,0.197,0.257,0.251,0.244,0.227,0.228,0.214,0.216,0.239,0.172,0.17,0.168,0.186,0.225,0.292,0.297,0.285,0.28,0.207
Brand_Consideration_Subaru_Qld,,Brand_Consideration_,Brand_Consideration_,Client Data:Roy Morgan:Qld,0.5,0.103,0.057,0.042,0.061,0.071,0.048,0.06,0.11,0.127,0.115,0.062,0.053,0.04,0.042,0.029,0.035,0.046,0.066,0.056,0.052
Brand_Intention_Subaru_Qld,,Brand_Intention_,Brand_Intention_,Client Data:Roy Morgan:Qld,0.5,0.071,0.05,0.041,0.043,0.05,0.03,0.041,0.056,0.055,0.043,0.016,0.026,0.029,0.034,0.015,0.018,0.013,0.035,0.028,0.043
Brand_Awareness_Subaru_SA,,Brand_Awareness_,Brand_Awareness_,Client Data:Roy Morgan:SA,0.5,0.958,0.976,0.976,0.98,0.949,0.826,0.751,0.752,0.812,0.759,0.789,0.755,0.907,0.925,1.007,1.009,1.009,0.839,0.846,0.843
Brand_Ad_Recall_Subaru_SA,,Brand_Ad_Recall_,Brand_Ad_Recall_,Client Data:Roy Morgan:SA,0.5,0.632,0.801,0.799,0.703,0.616,0.475,0.527,0.484,0.415,0.343,0.263,0.335,0.491,0.427,0.343,0.21,0.18,0.316,0.473,0.501
Brand_Rejection_Subaru_SA,,Brand_Rejection_,Brand_Rejection_,Client Data:Roy Morgan:SA,0.5,0.182,0.105,0.107,0.09,0.164,0.258,0.124,0.114,0.05,0.169,0.189,0.207,0.081,0.206,0.296,0.375,0.352,0.374,0.274,0.244
Brand_Consideration_Subaru_SA,,Brand_Consideration_,Brand_Consideration_,Client Data:Roy Morgan:SA,0.5,0.119,0.058,0.033,0.045,0.092,0.083,0.06,0.035,0.078,0.092,0.102,0.069,0.075,0.095,0.068,0.046,0.014,0.104,0.138,0.156
Brand_Intention_Subaru_SA,,Brand_Intention_,Brand_Intention_,Client Data:Roy Morgan:SA,0.5,0.07,0.016,0.004,0.009,0.035,0.043,0.053,0.035,0.078,0.092,0.094,0.061,0.034,0.028,0.013,0,0,0.01,0.008,0.008
Brand_Awareness_Subaru_WA,,Brand_Awareness_,Brand_Awareness_,Client Data:Roy Morgan:WA,0.5,0.96,0.964,0.973,1.003,1.003,0.989,0.993,0.928,0.925,0.858,0.882,0.883,0.853,0.913,0.876,0.904,0.855,0.839,0.833,0.84
Brand_Ad_Recall_Subaru_WA,,Brand_Ad_Recall_,Brand_Ad_Recall_,Client Data:Roy Morgan:WA,0.5,0.599,0.522,0.533,0.342,0.38,0.373,0.606,0.563,0.593,0.392,0.423,0.411,0.453,0.373,0.308,0.245,0.467,0.471,0.477,0.443
Brand_Rejection_Subaru_WA,,Brand_Rejection_,Brand_Rejection_,Client Data:Roy Morgan:WA,0.5,0.038,0.147,0.25,0.389,0.349,0.198,0.067,0.081,0.136,0.256,0.196,0.338,0.289,0.377,0.257,0.35,0.209,0.191,0.05,0.071
Brand_Consideration_Subaru_WA,,Brand_Consideration_,Brand_Consideration_,Client Data:Roy Morgan:WA,0.5,0.037,0.104,0.113,0.11,0.072,0.071,0.063,0.068,0.066,0.056,0.114,0.111,0.112,0.033,0.038,0.057,0.059,0.049,0.026,0.044
Brand_Intention_Subaru_WA,,Brand_Intention_,Brand_Intention_,Client Data:Roy Morgan:WA,0.5,0,0.051,0.066,0.075,0.052,0.039,0.026,0.031,0.021,0.028,0.054,0.055,0.06,0.014,0.023,0.03,0.028,0.016,0.004,0.013
Brand_Awareness_Subaru_Tas,,Brand_Awareness_,Brand_Awareness_,Client Data:Roy Morgan:Tas,0.5,1,0.901,0.879,0.913,0.988,0.988,0.947,0.861,0.879,0.576,0.612,0.522,0.924,0.984,0.988,1.007,0.989,0.986,0.929,0.886
Brand_Ad_Recall_Subaru_Tas,,Brand_Ad_Recall_,Brand_Ad_Recall_,Client Data:Roy Morgan:Tas,0.5,0.752,0.815,0.799,0.492,0.633,0.652,0.624,0.471,0.546,0.375,0.498,0.266,0.383,0.231,0.492,0.858,0.698,0.652,0.53,0.499
Brand_Rejection_Subaru_Tas,,Brand_Rejection_,Brand_Rejection_,Client Data:Roy Morgan:Tas,0.5,0,0,0,0,0,0,0,0,0,0.373,0.405,0.501,0.1,0,0,0,0,0,0,0.166
Brand_Consideration_Subaru_Tas,,Brand_Consideration_,Brand_Consideration_,Client Data:Roy Morgan:Tas,0.5,0.217,0.223,0.053,0.057,0.112,0.236,0.27,0.25,0.149,0.093,0.079,0.043,0.026,0.053,0.047,0.118,0.082,0.125,0.151,0.174
Brand_Intention_Subaru_Tas,,Brand_Intention_,Brand_Intention_,Client Data:Roy Morgan:Tas,0.5,0.092,0.122,0.053,0.044,0.034,0.053,0.106,0.139,0.138,0.093,0.056,0.016,0,0.053,0.047,0.06,0.042,0.088,0.093,0.071
MODEL_AWARENESS_Subaru_Impreza_SMALL_$40K,,MODEL_AWARENESS_,MODEL_AWARENESS_,Client Data:Roy Morgan:Impreza_SMALL_$40K,0.5,0.751,0.763,0.692,0.709,0.649,0.69,0.657,0.63,0.627,0.606,0.629,0.668,0.677,0.689,0.664,0.705,0.713,0.605,0.581,0.582
MODEL_AD_RECALL_Subaru_Impreza_SMALL_$40K,,MODEL_AD_RECALL_,MODEL_AD_RECALL_,Client Data:Roy Morgan:Impreza_SMALL_$40K,0.5,0.155,0.141,0.169,0.136,0.11,0.096,0.121,0.121,0.142,0.09,0.124,0.173,0.192,0.165,0.113,0.12,0.124,0.106,0.133,0.126
MAKE_REJECTION_Subaru_SMALL_$40K,,MAKE_REJECTION_,MAKE_REJECTION_,Client Data:Roy Morgan:SMALL_$40K,0.5,0.085,0.11,0.167,0.202,0.242,0.209,0.182,0.157,0.197,0.215,0.206,0.184,0.18,0.203,0.2,0.225,0.255,0.252,0.231,0.171
MODEL_CONSIDERATION_Subaru_Impreza_SMALL_$40K,,MODEL_CONSIDERATION_,MODEL_CONSIDERATION_,Client Data:Roy Morgan:Impreza_SMALL_$40K,0.5,0.019,0.021,0.021,0.013,0.017,0.028,0.06,0.059,0.081,0.048,0.049,0.039,0.046,0.054,0.046,0.041,0.034,0.026,0.022,0.016
MODEL_INTENTION_Subaru_Impreza_SMALL_$40K,,MODEL_INTENTION_,MODEL_INTENTION_,Client Data:Roy Morgan:Impreza_SMALL_$40K,0.5,0.01,0.015,0.015,0.009,0.008,0.016,0.032,0.037,0.048,0.034,0.031,0.018,0.017,0.02,0.023,0.025,0.022,0.022,0.016,0.012
MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR_SUBARU_Brand_Essence_Equity,,MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR_,MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR_,Client Data:Roy Morgan:Brand_Essence_Equity,0.5,0.166,0.162,0.165,0.161,0.161,0.166,0.167,0.163,0.155,0.149,0.148,0.143,0.127,0.128,0.126,0.118,0.115,0.106,0.1,0.101
MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_SUBARU_Brand_Essence_Equity,,MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_,MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_,Client Data:Roy Morgan:Brand_Essence_Equity,0.5,0.294,0.284,0.283,0.283,0.288,0.296,0.295,0.29,0.279,0.257,0.255,0.251,0.245,0.249,0.242,0.228,0.217,0.209,0.202,0.21
Brand_Essence_(PROVIDES_DRIVER_CONFIDENCE)_SUBARU_Brand_Essence_Equity,,Brand_Essence_(PROVIDES_DRIVER_CONFIDENCE)_,Brand_Essence_(PROVIDES_DRIVER_CONFIDENCE)_,Client Data:Roy Morgan:Brand_Essence_Equity,0.5,0.208,0.206,0.214,0.201,0.198,0.192,0.194,0.199,0.188,0.181,0.176,0.174,0.171,0.162,0.152,0.15,0.151,0.145,0.142,0.142
Brand_Equity_(Average_of_MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_&_MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR)_SUBARU_Brand_Essence_Equity,,Brand_Equity_(Average_of_MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_&_MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR)_,Brand_Equity_(Average_of_MAKE_VEHICLES_THAT_YOU_WOULD_BE_PROUD_TO_OWN_&_MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR)_,Client Data:Roy Morgan:Brand_Essence_Equity,0.5,0.46,0.446,0.448,0.444,0.449,0.462,0.462,0.453,0.434,0.406,0.403,0.394,0.372,0.377,0.368,0.346,0.332,0.315,0.302,0.311
Subaru_Brand_Image_Grand_Scores,,Brand_Image_Grand_Scores,Brand_Image_Grand_Scores,Client Data:Roy Morgan:Brand_Image_Grand_Scores,0.5,0.287525,0.286475,0.287825,0.283175,0.286475,0.287175,0.28935,0.285425,0.27795,0.266475,0.269475,0.266475,0.258125,0.255375,0.2522,0.24285,0.23795,0.232,0.224275,0.23035
%_intending_same_make_subaru_Loyality,,%_intending_same_make,%_intending_same_make,Client Data:Roy Morgan:Loyality,0.5,0.528,0.515,0.531,0.557,0.569,0.577,0.595,0.578,0.582,0.589,0.562,0.582,0.499,0.499,0.509,0.491,0.476,0.469,0.442,0.455
Subaru_z%_Satisfaction,,z%_satisfaction,z%_satisfaction,Client Data:Roy Morgan:Satisfaction,0.5,0.941,0.941,0.945,0.947,0.948,0.945,0.946,0.947,0.949,0.947,0.948,0.949,0.955,0.955,0.95,0.951,0.948,0.948,0.95,0.948
MODEL_AWARENESS_Subaru_Outback_SUV_LARGE_$70K,,MODEL_AWARENESS_,MODEL_AWARENESS_,Client Data:Roy Morgan:Outback_SUV_LARGE_$70K,0.5,0.766,0.832,0.849,0.851,0.789,0.75,0.728,0.781,0.756,0.746,0.675,0.652,0.704,0.7,0.731,0.622,0.612,0.654,0.753,0.764
MODEL_AD_RECALL_Subaru_Outback_SUV_LARGE_$70K,,MODEL_AD_RECALL_,MODEL_AD_RECALL_,Client Data:Roy Morgan:Outback_SUV_LARGE_$70K,0.5,0.373,0.285,0.209,0.107,0.088,0.063,0.08,0.124,0.099,0.085,0.086,0.16,0.163,0.096,0.057,0.017,0.071,0.032,0.092,0.093
MAKE_REJECTION_Subaru_SUV_LARGE_$70K,,MAKE_REJECTION_,MAKE_REJECTION_,Client Data:Roy Morgan:SUV_LARGE_$70K,0.5,0.151,0.156,0.111,0.133,0.134,0.23,0.223,0.172,0.185,0.181,0.282,0.171,0.176,0.197,0.213,0.281,0.215,0.151,0.266,0.263
MODEL_CONSIDERATION_Subaru_Outback_SUV_LARGE_$70K,,MODEL_CONSIDERATION_,MODEL_CONSIDERATION_,Client Data:Roy Morgan:Outback_SUV_LARGE_$70K,0.5,0.087,0.104,0.115,0.14,0.105,0.084,0.071,0.099,0.093,0.076,0.045,0.093,0.1,0.118,0.068,0.071,0.082,0.079,0.076,0.051
MODEL_INTENTION_Subaru_Outback_SUV_LARGE_$70K,,MODEL_INTENTION_,MODEL_INTENTION_,Client Data:Roy Morgan:Outback_SUV_LARGE_$70K,0.5,0.05,0.077,0.09,0.113,0.074,0.052,0.038,0.065,0.067,0.057,0.032,0.069,0.087,0.097,0.058,0.04,0.05,0.049,0.058,0.041
MODEL_AWARENESS_Subaru_Forester_SUV_MEDIUM_$60k,,MODEL_AD_RECALL,MODEL_AD_RECALL,Client Data:Roy Morgan:Forester_SUV_MEDIUM_$60k,0.5,0.301,0.267,0.362,0.325,0.326,0.241,0.208,0.138,0.188,0.161,0.228,0.091,0.146,0.128,0.25,0.212,0.307,0.219,0.275,0.283
MODEL_AD_RECALL_Subaru_Forester_SUV_MEDIUM_$60k,,MAKE_REJECTION,MAKE_REJECTION,Client Data:Roy Morgan:SUV_MEDIUM_$60k,0.5,0.064,0.114,0.043,0.104,0.102,0.233,0.221,0.21,0.169,0.16,0.116,0.055,0.027,0.123,0.171,0.158,0.12,0.095,0.098,0.07
MAKE_REJECTION_Subaru_SUV_MEDIUM_$60k,,MODEL_CONSIDERATION,MODEL_CONSIDERATION,Client Data:Roy Morgan:Forester_SUV_MEDIUM_$60k,0.5,0.202,0.176,0.193,0.222,0.191,0.163,0.146,0.188,0.192,0.182,0.163,0.143,0.113,0.131,0.12,0.126,0.153,0.205,0.261,0.231
MODEL_CONSIDERATION_Subaru_Forester_SUV_MEDIUM_$60k,,MODEL_INTENTION,MODEL_INTENTION,Client Data:Roy Morgan:Forester_SUV_MEDIUM_$60k,0.5,0.123,0.111,0.114,0.152,0.148,0.148,0.094,0.091,0.091,0.09,0.113,0.097,0.069,0.057,0.048,0.076,0.115,0.162,0.172,0.159
MODEL_INTENTION_Subaru_Forester_SUV_MEDIUM_$60k,,MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR,MAKE_VEHICLES_THAT_ARE_WORTH_PAYING_A_BIT_MORE_FOR,Client Data:Roy Morgan:Brand_Essence_Equity,0.5,0.161,0.166,0.167,0.163,0.155,0.149,0.148,0.143,0.127,0.128,0.126,0.118,0.115,0.106,0.1,0.101,0.103,0.115,0.118,0.12
